problem,arm,point_id,decision,normalized_objectives
zdt1,mode,10,"[0.057531759529200616,0.07345613711554258,0.08384571451766437,0.053745535313980956,0.053980013104784674,0.013034544082248372,0.1263488457338561,0.24507634753619592,0.13099371683804012,0.09363277153830674,0.2058524216745135,0.046410268262695654,0.06426422889507402,0.029257279630461114,0.14975938172303793,0.1058189005881677,0.3387723645642412,0.11550156415666975,0.08853269753042459,0.04902549715576088,0.03924870099661519,0.36293924833520996,0.11472253161115437,0.05768110400253046,0.017585144773472845,0.09659670543735234,0.08359055945133108,0.142515147174408,0.07838264594403024,0.0766494392683495]","[0.057531759529200616,1.6366542226213772]"
zdt1,mode,11,"[0.05753175952920064,0.0817182909601796,0.08384571451766437,0.05441390950618648,0.053980013104784674,0.014514608070079123,0.10027008230993957,0.2450763475361959,0.1311838090754306,0.09363277153830674,0.2122208058795246,0.04641026826269565,0.06426422889507402,0.02925727963046111,0.14975938172303793,0.1058189005881677,0.3990936674114357,0.1162249218994995,0.09168564242381284,0.04902549715576088,0.039248700996615184,0.1178354674396792,0.1147814589350655,0.05768110400253046,0.018826373968508323,0.09487563454689232,0.08347727982535456,0.11347759306119515,0.07838264594403024,0.0766494392683495]","[0.05753175952920064,1.5743750546741282]"
zdt1,mode,12,"[0.1451473245267879,0.09079891489235475,0.05293216413036454,0.045950933468877214,0.009646659241658598,0.00527677377067667,0.09916078356295005,0.2455881992539889,0.1379704463228273,0.09077308805516959,0.2280748653698652,0.08537418309728323,0.06821494267312195,0.02821744693145939,0.019102433496088974,0.12488195597527371,0.38132786726101464,0.11008295796238818,0.09827371294491546,0.18970445527103352,0.03204719116509358,0.33132661839403243,0.07526695870391195,0.20039775080972,0.05144877293271857,0.06878749440252657,0.13333777494218785,0.4013432357280218,0.0695946740847562,0.11374446060774729]","[0.1451473245267879,1.5598224633082307]"
zdt1,mode,13,"[0.16307477567632456,0.0877119254111143,0.08353749817848849,0.06504351702873892,0.009789192812686979,0.01251523695414556,0.09947968633149296,0.3835972367758881,0.14273003627231845,0.00935366104263105,0.2555556944393339,0.061556991450337356,0.06136631745542817,0.007796880588509136,0.023418076998703907,0.10455708086095475,0.4527407797228661,0.11768940007631704,0.05558124912798956,0.19929436268891915,0.13584004582707385,0.3051287192196437,0.11426897826474053,0.07605295924012714,0.05145223127891485,0.050134869475232366,0.05513491651691613,0.1835755189965492,0.0674255342236195,0.11668323372569508]","[0.16307477567632456,1.4733241577655833]"
zdt1,mode,14,"[0.163423883093552,0.08294839054781358,0.07255215036446344,0.0650297072218459,0.09518852265928499,0.0029967761815692384,0.1241889885871657,0.3835972367758881,0.13831112494060155,0.00935366104263105,0.05981688210475694,0.051761505588304425,0.061084778675219484,0.024731258984616034,0.03151973555274351,0.026700228271808426,0.4330300173835435,0.11768940007631704,0.1495370023390631,0.19929436268891915,0.13584004582707385,0.30493064216884946,0.11411792832786807,0.06571101055680267,0.05112704272647056,0.03412617168292792,0.07199907466464114,0.2994720846556531,0.0674255342236195,0.11544852793046137]","[0.163423883093552,1.4728433979197877]"
zdt1,mode,15,"[0.16349097247313038,0.2604654056952559,0.08384571451766437,0.04385140464333177,0.03120589093201659,0.012712501665029324,0.11637391947385034,0.2390211567862548,0.12925942587733646,0.09363277153830674,0.2362777948624195,0.051664436100821304,0.06443103813104945,0.05273801169828382,0.03350718298974354,0.10370422065901855,0.34394245056547,0.11764746203599397,0.053057269953972336,0.048450083316681436,0.1287955153094131,0.3623256506165159,0.14075596204772434,0.05768110400253046,0.06970148017741656,0.10100467581109271,0.07408574667641343,0.17926341607623986,0.07838264594403024,0.0748682532678539]","[0.16349097247313038,1.4708915477570796]"
zdt1,mode,16,"[0.1756193821291776,0.08231538057350292,0.060327367050764205,0.05577418348613892,0.010005422555238156,0.01454287092005082,0.12244830209223365,0.49392569515525164,0.13812142250055554,0.11129355377104003,0.2122450898938173,0.08584610862042061,0.06131677730931479,0.01856714301921672,0.024609160881729084,0.08205450907244435,0.45593899641344127,0.12151988284010906,0.10521772512609295,0.18748064998992203,0.11176730674835386,0.08957380853047836,0.004126614724275668,0.06719571387427471,0.06057781495137709,0.0067961101235430865,0.07764642300007853,0.18009373663478925,0.02419920285962733,0.07843067827966729]","[0.1756193821291776,1.386666731747949]"
zdt1,mode,17,"[0.18930878481646163,0.08261799588747126,0.11916033254582861,0.06469486370786257,0.01051672357924241,0.00541805677308782,0.12372662213647764,0.23969819915218749,0.1422710175646743,0.09263750683851879,0.1764047129149035,0.05115518851822873,0.06816778854987549,0.034197491493887636,0.09600208731247067,0.008346894589244813,0.4251971157450166,0.12036486392801776,0.08663216221587672,0.037026843538572635,0.029404426487398383,0.35979516462153405,0.04112140207467124,0.08652932277520614,0.0507470785607686,0.0083929271754421,0.07320607730473255,0.14926998171370642,0.10367417063383266,0.08323852646554689]","[0.18930878481646163,1.3184658069607693]"
zdt1,mode,18,"[0.3998803747787303,0.09032960419307194,0.05290990018101976,0.04601568244405012,0.016556019424079103,0.0059009243446292246,0.12369611375688741,0.2478343737981079,0.13799906145181387,0.011962897640745686,0.2636900513639207,0.04776961124649648,0.06777179244074764,0.03502481266555557,0.024858779237370413,0.07918365602426178,0.4398660467108554,0.10934476764724044,0.10544384022284203,0.21172368760630253,0.1364694157673291,0.2849938099661342,0.07579539726769614,0.20014900586120798,0.051445908415883125,0.007830011825708767,0.08339726952386262,0.1447337338997241,0.19277199989306315,0.11393823325207245]","[0.3998803747787303,1.150903428636236]"
zdt1,mode,19,"[0.43493980748075495,0.0792869502476419,0.11219624447016958,0.054023616577860346,0.05294825174107531,0.023083475684503738,0.12504290911739332,0.23902115678625485,0.1422335684650914,0.09425404271647972,0.2362777948624195,0.04607273634333969,0.06407419277192081,0.05270719901064008,0.046593781362862075,0.10366593549517947,0.34394245056547,0.05906194675373854,0.05308893753030469,0.049669301980211494,0.13615870730055427,0.36541037198220383,0.14048642986919305,0.058165053480919035,0.06976598584557733,0.09940106063611795,0.15480485978468583,0.30322777966544057,0.07817744119765592,0.0743558804892321]","[0.43493980748075495,1.123398937777406]"
zdt1,mode,20,"[0.434939807480755,0.2611519167285153,0.11039832092290092,0.04385140464333177,0.0035018176239974136,0.06472220538053247,0.12502713964139253,0.25603592641038253,0.12933222787475185,0.09363277153830674,0.20428854499927962,0.04607273634333969,0.06407523409472038,0.03509912173889656,0.053740736756662986,0.13781498571573864,0.2548041633704923,0.11685881875021113,0.05308893753030469,0.04524297860882748,0.09321354315977642,0.36541037198220383,0.11777762697987683,0.06334266392471698,0.07010983964649276,0.010642286692641556,0.17866771845481766,0.30202852527892754,0.07838264594403024,0.07426892065047855]","[0.434939807480755,1.1222950354175862]"
zdt1,mode,21,"[0.4368917447628434,0.08457410503505863,0.11104504365943435,0.06290593174223245,0.020362264255630036,0.07107147789880902,0.12405647520373217,0.2330172897056067,0.13464489110458921,0.09383406402895514,0.21414839429009735,0.08472226259175224,0.06316611761894106,0.042946307515476796,0.04646512905181998,0.10310980841786141,0.42697906049193357,0.08377566588081528,0.053709425762321295,0.05492375478063845,0.09826300724219603,0.3278992222042204,0.1153981436681717,0.12168587238257961,0.061624090590942635,0.023802170201875028,0.17729651491773152,0.30626512030171643,0.07100062734243476,0.03823765983525984]","[0.4368917447628434,1.119772010730948]"
zdt1,mode,22,"[0.44167146617506736,0.09002887341466463,0.11263941041032963,0.04961856966992958,0.01690545319445855,0.022415014089190076,0.12706063842501178,0.24017146975468953,0.14306118806378412,0.09830480088636434,0.2042789491920482,0.08865088990479006,0.06435134226050046,0.027264173676516512,0.029531367263841354,0.07617392287368747,0.25227693281992214,0.11729871014785759,0.08600777502519652,0.24127191020630084,0.13621502511886,0.2849839678523607,0.11590480447718138,0.18939186459843113,0.05024659774685841,0.008450128764683049,0.154109708416799,0.14320362311780832,0.1970564544741244,0.08097981094723625]","[0.44167146617506736,1.113848636026121]"
zdt1,mode,23,"[0.4446814478866806,0.09032573475873915,0.05290978952268097,0.04960388427363636,0.0181170289179068,0.02242573895605935,0.09912543693904344,0.23965677717807676,0.14303943361352064,0.012910784190555469,0.2636900513639207,0.04776961124649648,0.06134510481232735,0.03492075067332064,0.025241417270390455,0.07397503989730211,0.22903181175755327,0.10934476764724044,0.10544384022284203,0.21194311859662962,0.1485449631038441,0.28499407496385876,0.11552331711482106,0.1916458596259644,0.04378801998687412,0.007853012826421077,0.14720075613799216,0.1447337338997241,0.19791626933811035,0.11698033223843979]","[0.4446814478866806,1.0730279783779682]"
zdt1,mode,24,"[0.4701281343678104,0.07258161519209813,0.11905825346857923,0.05895004280457175,0.051529853816847285,0.02346348302945231,0.12612171645643172,0.2455671908140893,0.1422394288826886,0.11236480618977251,0.21760800965486776,0.03453625322928233,0.04006168011736212,0.028659521495499996,0.05413661234323863,0.07312863847890863,0.23862977580564304,0.018149783201486275,0.12128098056120448,0.35001313426054625,0.032529334853854466,0.3628255966452558,0.11438684896534004,0.06141779233929806,0.016115225715885043,0.01260989719804348,0.1542546517910613,0.14584303755530287,0.06752537824620522,0.14539231042987183]","[0.4701281343678104,1.034743281008828]"
zdt1,mode,25,"[0.5433054342680832,0.07223373051653534,0.02484822743211683,0.05591414218206976,0.02125272564885361,0.013028301753773237,0.12788343209628455,0.3937958785968869,0.15616545745732455,0.04432410641659808,0.059949762110961285,0.08851153054383207,0.06114968034250143,0.001630954850124322,0.09493017675944704,0.024613159856881672,0.4297056405203943,0.1194487255050041,0.13807934215322093,0.18981723297456565,0.11055662195831331,0.3198997309900553,0.10023523825227407,0.07136763179918529,0.05111508158807959,0.03552069819789258,0.0807515692069013,0.29237465747855407,0.08513319672056353,0.09999017602866433]","[0.5433054342680832,0.9902418688341926]"
zdt1,mode,26,"[0.5984903396704553,0.09561795132434797,0.09878265303509515,0.04478054644209779,0.05395808313074925,0.010060314655146521,0.12216541050049473,0.2447138969174274,0.14227632098302767,0.09550988986925232,0.25480186394727133,0.12123555978036574,0.061779044132156825,0.016593515704632744,0.09491965850944392,0.080320015989915,0.47529470163883764,0.11819072153358465,0.058472053420192294,0.18458625896388692,0.06385071076826916,0.3627019579860389,0.11802705813416624,0.06592977841554207,0.013209622472194954,0.04973785857624651,0.08154535526080157,0.15730065587904202,0.07219317470068067,0.11651317088541219]","[0.5984903396704553,0.963147029349208]"
zdt1,mode,27,"[0.7214288937859674,0.07483787952361601,0.06505508282082842,0.06620129845630254,0.019580251678698656,0.014653008194175528,0.12752228640058652,0.26118334380670355,0.14068295515063395,0.1111712282660069,0.22834489008808362,0.07094486778702765,0.06448655035771514,0.03210978996967351,0.049096619385099086,0.0642877335054268,0.23503862054131558,0.11949089663454801,0.092739239159731,0.42797584975305913,0.09438198628957498,0.11937111910145161,0.11385901045931873,0.07177752354954234,0.015261445767004923,0.013221716338545075,0.1259213137078683,0.15096491688991642,0.0729932696565117,0.13310632966850108]","[0.7214288937859674,0.7888370796219099]"
zdt1,mode,28,"[0.7308770046919071,0.07259839078877749,0.06287335887535314,0.05443681429524194,0.018673484692447017,0.014653008194175532,0.12750498911558106,0.4983791140957662,0.14202844545233345,0.1111712282660069,0.060935173043878105,0.07484974159928534,0.06448655035771514,0.03210978996967351,0.02082267381322627,0.07377315235531132,0.23484031354986673,0.10641010360969705,0.09169188323503086,0.4275255150428339,0.04548216033938096,0.10269283305502286,0.1134937919353533,0.06533473068878072,0.014282891384227288,0.013221716338545061,0.07806342341228942,0.14663987299663434,0.0729932696565117,0.038142474292650316]","[0.7308770046919071,0.7387602462824883]"
zdt1,random,0,"[0.000038759748075101186,0.7733468523852206,0.8088596588732416,0.06772642751498659,0.0997053723878758,0.7820160002452557,0.9775873415603327,0.310006341271732,0.4898979549049608,0.501565277977641,0.7499437985605335,0.7342227794386019,0.6866687201965651,0.2628415532221795,0.8109202777159905,0.7653455211880984,0.8390212658007401,0.8267727359514804,0.03808888713370906,0.4692057265559221,0.554737229581509,0.36196359349418894,0.8255337315835027,0.027844611630629013,0.7538859671979123,0.4988604366393331,0.003160835111035154,0.9829584548055569,0.3988746133693185,0.5233211487524114]","[0.000038759748075101186,5.927028860969983]"
zdt1,random,1,"[0.0002678645987173045,0.20207375110192827,0.7034147166780923,0.5952243828677974,0.030311822507596453,0.24893741178968742,0.745603677994717,0.8958139423840358,0.515028465746821,0.4512171339563221,0.6291280745106119,0.45679566691390505,0.13212532906918972,0.11032581445590572,0.1784582255217374,0.12403639084997953,0.5949536322719252,0.8089370568810159,0.7310553905045224,0.8988827760853456,0.5929660832543915,0.17423648334351194,0.03194776552001388,0.7362287553764141,0.2139509845422377,0.2925193047721706,0.8792834250211985,0.8212889526833165,0.5933836060743596,0.597893065315328]","[0.0002678645987173045,5.302667290645459]"
zdt1,random,2,"[0.0002922720268880852,0.6247664198130235,0.6905066167057209,0.23468844455730087,0.42245454610687605,0.4081222009723726,0.3143437005171915,0.6091959177037103,0.13595537007402203,0.39532424732568816,0.6203846391495704,0.13537236065152625,0.8757639934417338,0.18306420911396026,0.3640389689227058,0.11129053517048049,0.5139244129757089,0.21244947154252436,0.6748493915583292,0.1748666700389937,0.23403685393889118,0.22923257556202226,0.6041907870381953,0.5638682656695446,0.5757927833178895,0.47050959317743735,0.45686908619779354,0.15492880354835237,0.4019514376309139,0.18582712049534766]","[0.0002922720268880852,4.556708887517612]"
zdt1,random,3,"[0.00925368591023179,0.49769139230001336,0.11350416378329109,0.8746740796683158,0.8468934056179295,0.46526775134402654,0.5799895199401905,0.06345015088932304,0.8096226061626531,0.14561674931648583,0.8362610922925382,0.13633629521519397,0.2153355183218233,0.24517573528525116,0.6102293578705474,0.00011272026886322006,0.36840325557842657,0.19841463100432488,0.08270635738754317,0.6821969030418806,0.6766399163066675,0.06486482836285934,0.0847652545958465,0.21326541443018288,0.18531913226671848,0.7894935496327543,0.08507108952829134,0.3602371988535017,0.7828987262591129,0.5573983128652908]","[0.00925368591023179,4.3851376775271005]"
zdt1,random,4,"[0.009913150945897509,0.16774591745927536,0.3657867762055954,0.819586988992725,0.2409897676780155,0.4443717211630277,0.16849227515319543,0.7496595990357154,0.2360776794025885,0.5405859139483601,0.2152071269973561,0.41473524583976384,0.19016901039489675,0.010124328784328562,0.2858250396025822,0.5805929157902071,0.1468432027458636,0.40186816657065927,0.18441511209964245,0.05195808195739149,0.9177868917088754,0.10259238750699107,0.10910038913270692,0.5749874516396064,0.3596630139334249,0.7648762994781846,0.8534512852400193,0.3928566300219988,0.5583109607594304,0.18328249963377719]","[0.009913150945897509,4.2142955829570985]"
zdt1,random,5,"[0.012703637489682174,0.13311384988706187,0.05606609294327469,0.07425248684097041,0.2936099800190738,0.6543606402618896,0.8648831595967844,0.18457017972242729,0.21463445803235703,0.649051392369974,0.23647783571870673,0.046201406720990046,0.178967847909013,0.045181688846057555,0.13198619789576682,0.006844525595586459,0.09843449520692116,0.414739124870359,0.22795828311824395,0.44350385077795307,0.39695154561142654,0.12256547657043992,0.693254428726012,0.21943343451177288,0.048845725236594584,0.7799109650881719,0.7537385906936913,0.8412016653089169,0.9318966990177366,0.3262001016113357]","[0.012703637489682174,3.895900517205682]"
zdt1,random,6,"[0.030213127666558703,0.5244864934713311,0.10685497456395188,0.5586403271067409,0.053998243478725394,0.9882529030342688,0.027578968039664975,0.6214458432262553,0.641822835214249,0.06387730888717802,0.1286965856624973,0.20217823735506946,0.5200643043432102,0.635020524041983,0.023154637017358537,0.19148319001839753,0.02077884032143007,0.1578553828846615,0.682584623134005,0.43171559111631974,0.03857212726512127,0.1065173318893311,0.2610536570344153,0.049865826982816386,0.08728399373115547,0.20405418721011714,0.8135717490498044,0.16529392932442988,0.07371900567515477,0.3527223659797254]","[0.030213127666558703,3.3754736599227457]"
zdt1,random,7,"[0.17795684426414593,0.16078216956912839,0.7063827948976439,0.06277732893212529,0.44091192812647995,0.059676566923936525,0.7531493938790931,0.11987548761616795,0.31303394207470703,0.1470816939853904,0.4842459132613186,0.451280146786164,0.18105992223102774,0.021529435179197032,0.06535867459328015,0.14076964898906197,0.9368117033517733,0.4698872451709142,0.12622681229127197,0.28267937637272944,0.9045137767362248,0.7179341640161199,0.956134733404689,0.26537821178024024,0.7313032539357641,0.1286775166129267,0.06103904953750061,0.3800903938004322,0.03000354976483688,0.11831878893097747]","[0.17795684426414593,3.3092464720299706]"
zdt1,random,8,"[0.22232654819928932,0.6748004218516971,0.20687969371241122,0.08574500954845599,0.46990081386391336,0.19082201786841213,0.095104895668091,0.5464289881028457,0.11376763865719652,0.14193451682308322,0.9881398983529932,0.7487456653991174,0.15640479642198513,0.1947436757762443,0.29294256103551874,0.17829718787432924,0.9490437473610186,0.03529625971623129,0.00605598133998797,0.44984246037179043,0.655315203953873,0.06734825943223877,0.03881189305533683,0.014010614331967375,0.7534145321993354,0.08987997060408537,0.844579414228063,0.23347190783301386,0.38512664072570346,0.8951764734466654]","[0.22232654819928932,3.2861402673072306]"
