sample,descriptor_log10_f0,descriptor_peak_gain_db,r1_index,r2_index,r3_index,c1_index,c2_index,r1_ohm,r2_ohm,r3_ohm,c1_f,c2_f
19,4.811715036548669,-19.387571611012117,23,14,13,30,25,8200,1500,1200,0.0000000033,0.0000000012
20,4.813808652886384,-32.01799156121863,34,5,15,38,23,68000,270,1800,0.000000015000000000000002,0.00000000082
21,2.105684302107936,13.665351228150493,27,23,36,50,39,18000,8200,100000,0.00000015,0.000000018000000000000002
22,3.8222596056927665,-81.76326003686418,36,16,15,23,51,100000,2200,1800,0.00000000082,0.00000018
23,4.190297250721053,44.7927897941072,5,13,32,50,10,270,1200,47000,0.00000015,0.000000000068
24,4.037694651773045,-68.24954989649898,35,8,34,9,49,82000,470,68000,0.000000000056,0.00000012000000000000002
25,4.05821330528993,-66.90790801583522,20,29,1,29,50,4700,27000,120,0.0000000027,0.00000015
26,4.905537011260374,-37.077558476899455,27,11,9,29,30,18000,820,560,0.0000000027,0.0000000033
27,5.3538831135159395,-64.60061489661013,26,7,6,18,37,15000,390,330,0.00000000033,0.000000012000000000000002
28,4.059409708437605,-66.51187552616447,25,35,2,28,45,12000,82000,150,0.0000000022000000000000003,0.000000056000000000000005
29,5.377583389652416,-34.443562684843634,13,16,3,22,32,1200,2200,180,0.0000000006799999999999999,0.0000000047
30,4.175026633626323,-45.586200895931796,30,24,11,28,35,33000,10000,820,0.0000000022000000000000003,0.0000000082
31,5.196915629217993,-49.09979466178721,33,7,4,36,25,56000,390,220,0.00000001,0.0000000012
32,6.045514612230943,4.912277994759218,1,24,13,15,23,120,10000,1200,0.00000000018,0.00000000082
33,6.212845740113963,-3.9245612131825536,8,17,18,5,17,470,2700,3300,0.000000000027,0.00000000027
34,4.170532200785893,2.310315583608847,12,7,21,32,38,1000,390,5600,0.0000000047,0.000000015000000000000002
35,4.620672468359594,-30.305909066136195,4,26,25,9,48,220,15000,12000,0.000000000056,0.0000001
36,4.286250197646399,-21.165478635562412,15,31,3,43,33,1800,39000,180,0.000000039000000000000005,0.0000000056000000000000005
37,3.9959846246553585,-17.585389316366076,11,19,12,34,45,820,3900,1000,0.0000000068000000000000005,0.000000056000000000000005
38,5.181551333740515,37.509798505880084,3,20,35,16,19,180,4700,82000,0.00000000022,0.00000000039
39,5.710212408232021,-57.50297744682261,17,1,0,21,38,2700,120,100,0.0000000005599999999999999,0.000000015000000000000002
40,5.817012079298544,-2.578291454283114,1,24,2,28,26,120,10000,150,0.0000000022000000000000003,0.0000000015
41,2.8672131551616893,-2.1869306956436807,19,2,19,58,49,3900,150,3900,0.0000006800000000000001,0.00000012000000000000002
42,5.945875818957856,-30.064798552012505,10,31,15,3,26,680,39000,1800,0.000000000018,0.0000000015
43,4.974557877345028,-0.19047760198950692,20,10,20,34,14,4700,680,4700,0.0000000068000000000000005,0.00000000015
44,5.200317375085142,-57.860926394201826,28,3,0,32,37,22000,180,100,0.0000000047,0.000000012000000000000002
46,4.044074560743774,11.510146485365077,15,28,22,46,17,1800,22000,6800,0.000000068,0.00000000027
47,6.089134958739515,16.366509569157074,11,27,25,7,8,820,18000,12000,0.000000000039,0.000000000047
48,6.279927873119917,-34.51503118844122,14,10,4,12,22,1500,680,220,0.00000000009999999999999999,0.0000000006799999999999999
49,2.57853344974068,-4.398529118103243,29,0,33,55,47,27000,100,56000,0.00000039,0.000000082
50,4.390593057730878,-23.54901782733764,26,35,32,7,27,15000,82000,47000,0.000000000039,0.0000000018
51,6.366119217943664,-42.095167790847746,33,15,15,4,10,56000,1800,1800,0.000000000021999999999999998,0.000000000068
52,5.030723701030042,-11.890189525085002,11,34,4,38,23,820,68000,220,0.000000015000000000000002,0.00000000082
53,5.394268930154988,-7.7752645024592395,1,12,1,32,34,120,1000,120,0.0000000047,0.0000000068000000000000005
55,3.037209853382818,-6.338324233388353,31,14,32,39,39,39000,1500,47000,0.000000018000000000000002,0.000000018000000000000002
56,5.134269775575824,-39.30252126532653,33,36,10,22,11,56000,100000,680,0.0000000006799999999999999,0.000000000082
57,3.6998544600846546,19.171259572542493,10,33,22,44,32,680,56000,6800,0.000000047000000000000004,0.0000000047
58,3.4193243497090533,-15.444404738720804,22,34,27,26,40,6800,68000,18000,0.0000000015,0.000000022000000000000002
59,4.750142787254922,16.889821973861192,16,5,27,30,21,2200,270,18000,0.0000000033,0.0000000005599999999999999
60,2.9243540539198216,13.298476423763105,18,24,27,46,37,3300,10000,18000,0.000000068,0.000000012000000000000002
61,3.7155581032131977,-19.668212017382466,22,9,21,34,44,6800,560,5600,0.0000000068000000000000005,0.000000047000000000000004
62,3.651261872047943,-58.48290823099966,23,19,15,25,52,8200,3900,1800,0.0000000012,0.00000022
63,5.759335612581579,-18.725197000482662,21,32,10,22,6,5600,47000,680,0.0000000006799999999999999,0.000000000033
64,3.014107992730305,4.567445232872783,20,30,23,50,32,4700,33000,8200,0.00000015,0.0000000047
65,5.493419058330139,-15.291378027616542,8,22,24,4,29,470,6800,10000,0.000000000021999999999999998,0.0000000027
66,3.3331665379187068,0.5066794715765843,10,27,21,38,48,680,18000,5600,0.000000015000000000000002,0.0000001
67,5.115611298323224,49.061238369130635,3,10,33,32,7,180,680,56000,0.0000000047,0.000000000039
68,3.2136637204307754,16.193016135137036,12,8,25,46,43,1000,470,12000,0.000000068,0.000000039000000000000005
69,3.495675215968472,-30.390240832705498,28,0,29,33,51,22000,100,27000,0.0000000056000000000000005,0.00000018
70,1.9253008084326593,0.8966517302878695,29,19,30,57,45,27000,3900,33000,0.00000056,0.000000056000000000000005
71,3.614527868716074,-15.134038097534226,22,29,32,19,38,6800,27000,47000,0.00000000039,0.000000015000000000000002
72,5.111634564258154,-21.654799010562016,23,31,10,36,6,8200,39000,680,0.00000001,0.000000000033
73,3.0987405576003852,31.223689932171204,6,8,28,46,45,330,470,22000,0.000000068,0.000000056000000000000005
74,3.484649583542478,-46.6205340664359,13,15,33,11,59,1200,1800,56000,0.000000000082,0.00000082
75,3.5186156105139554,-66.54866286210662,33,33,35,3,45,56000,56000,82000,0.000000000018,0.000000056000000000000005
77,3.5464443248438116,-4.472942529700914,5,15,4,54,49,270,1800,220,0.00000033,0.00000012000000000000002
79,3.6689268648620494,-4.7133031776874015,27,34,25,34,24,18000,68000,12000,0.0000000068000000000000005,0.000000001
80,5.1004627453246485,4.491713681400575,6,10,9,42,19,330,680,560,0.000000033000000000000004,0.00000000039
81,6.573102003101294,15.96807032216268,8,20,22,4,5,470,4700,6800,0.000000000021999999999999998,0.000000000027
82,3.6777368383080677,-86.89173158546382,28,15,25,10,59,22000,1800,12000,0.000000000068,0.00000082
83,3.8766756069929853,18.45528285133732,5,1,20,43,41,270,120,4700,0.000000039000000000000005,0.000000027
85,4.142082878987296,14.889967571048263,15,25,34,20,29,1800,12000,68000,0.0000000004699999999999999,0.0000000027
86,3.178927250267775,9.722878145363739,19,19,34,32,39,3900,3900,68000,0.0000000047,0.000000018000000000000002
87,5.699405280111464,-18.502538614638624,16,1,5,36,18,2200,120,270,0.00000001,0.00000000033
88,4.374180690905325,-46.55776005002392,6,4,29,5,56,330,220,27000,0.000000000027,0.00000047
89,4.160731925510881,29.294321133526076,6,18,25,37,29,330,3300,12000,0.000000012000000000000002,0.0000000027
90,2.149173530290578,-22.37700924596767,32,34,21,49,46,47000,68000,5600,0.00000012000000000000002,0.000000068
91,5.7928256722724365,2.3464939460186693,32,1,34,20,3,47000,120,68000,0.0000000004699999999999999,0.000000000018
92,4.419217701775825,-48.25442602225588,21,11,6,30,44,5600,820,330,0.0000000033,0.000000047000000000000004
93,5.641690898594997,-43.5214681774116,25,2,18,11,30,12000,150,3300,0.000000000082,0.0000000033
94,4.822515602543757,-7.908821866587327,11,10,6,55,13,820,680,330,0.00000039,0.00000000012
95,2.623312330492854,17.5619816526493,16,29,27,52,39,2200,27000,18000,0.00000022,0.000000018000000000000002
96,4.160758738479659,49.72079934996825,3,9,33,44,18,180,560,56000,0.000000047000000000000004,0.00000000033
98,5.428846489334351,-25.44922080936388,2,12,4,22,39,150,1000,220,0.0000000006799999999999999,0.000000018000000000000002
100,4.452678736932228,25.061562380399295,14,11,29,40,12,1500,820,27000,0.000000022000000000000002,0.00000000009999999999999999
101,1.9267426613015195,20.816651889996702,14,32,29,55,52,1500,47000,27000,0.00000039,0.00000022
102,5.117477757221895,-15.968205740791527,15,33,13,20,26,1800,56000,1200,0.0000000004699999999999999,0.0000000015
103,3.207880371761692,-0.4743315137692482,29,13,29,47,31,27000,1200,27000,0.000000082,0.0000000039
104,4.23655005784085,-55.0698482560856,8,30,12,19,56,470,33000,1000,0.00000000039,0.00000047
105,3.2711479717605956,19.986313319619917,15,10,27,59,24,1800,680,18000,0.00000082,0.000000001
106,3.3749116882855787,-39.33234643622099,34,0,19,45,52,68000,100,3900,0.000000056000000000000005,0.00000022
107,2.60017561601239,34.90211671761664,8,35,30,54,42,470,82000,33000,0.00000033,0.000000033000000000000004
108,5.204261231071584,19.53249461357998,16,6,36,12,18,2200,330,100000,0.00000000009999999999999999,0.00000000033
109,4.303078258222636,-8.467925365654457,23,5,18,42,28,8200,270,3300,0.000000033000000000000004,0.0000000022000000000000003
110,3.6609116153426844,-19.127747437431346,5,21,12,37,55,270,5600,1000,0.000000012000000000000002,0.00000039
111,2.4566540552622946,-0.9884870881783893,29,18,30,48,42,27000,3300,33000,0.0000001,0.000000033000000000000004
113,4.0336210814070474,25.252777038847775,3,20,18,57,22,180,4700,3300,0.00000056,0.0000000006799999999999999
114,3.623843343041807,-41.8012294429297,18,7,19,29,55,3300,390,3900,0.0000000027,0.00000039
115,3.4569228755175296,-88.60457585480678,33,34,9,23,52,56000,68000,560,0.00000000082,0.00000022
116,2.3906414101207787,22.440793541077607,6,3,27,55,56,330,180,18000,0.00000039,0.00000047
117,4.282944369820142,26.94055513103553,17,36,34,27,16,2700,100000,68000,0.0000000018,0.00000000022
118,4.756406917526583,11.695055407266569,1,16,33,12,37,120,2200,56000,0.00000000009999999999999999,0.000000012000000000000002
119,5.151589575366229,-8.342410302691205,8,31,3,50,12,470,39000,180,0.00000015,0.00000000009999999999999999
120,5.503066879209286,8.114066629742382,16,7,30,10,18,2200,390,33000,0.000000000068,0.00000000033
121,2.972870664273267,-42.92163422726719,33,14,30,29,52,56000,1500,33000,0.0000000027,0.00000022
123,3.053034752098545,-31.160526199436795,33,35,24,30,39,56000,82000,10000,0.0000000033,0.000000018000000000000002
124,2.8817054234724915,-49.1871580347206,29,20,14,40,54,27000,4700,1500,0.000000022000000000000002,0.00000033
125,5.423308269871393,-43.42658688317844,17,6,22,4,35,2700,330,6800,0.000000000021999999999999998,0.0000000082
126,4.973935275402757,-2.111017207123916,5,10,25,14,35,270,680,12000,0.00000000015,0.0000000082
127,4.746532523043811,-11.224259603380515,12,26,30,8,33,1000,15000,33000,0.000000000047,0.0000000056000000000000005
128,3.4978290936551555,-57.8780435804565,25,4,1,49,59,12000,220,120,0.00000012000000000000002,0.00000082
129,4.602016931149482,6.837632031070065,12,14,16,48,13,1000,1500,2200,0.0000001,0.00000000012
130,5.466965683139393,-32.494210748487056,17,15,5,21,27,2700,1800,270,0.0000000005599999999999999,0.0000000018
131,4.363681072035391,-35.8220102822555,22,26,4,34,34,6800,15000,220,0.0000000068000000000000005,0.0000000068000000000000005
132,3.0504459570370925,25.761830093713996,15,16,35,40,37,1800,2200,82000,0.000000022000000000000002,0.000000012000000000000002
133,4.0840153764659135,-9.015251824947121,19,4,19,37,39,3900,220,3900,0.000000012000000000000002,0.000000018000000000000002
134,3.918236919336649,-4.938518697439731,25,26,22,49,10,12000,15000,6800,0.00000012000000000000002,0.000000000068
135,2.9847197739413134,47.13347514571797,4,17,33,54,34,220,2700,56000,0.00000033,0.0000000068000000000000005
136,4.579631396369994,-105.26877483719231,28,16,5,13,53,22000,2200,270,0.00000000012,0.00000027
137,5.813504738592658,28.067299341200922,7,16,24,25,2,390,2200,10000,0.0000000012,0.000000000015
138,4.957853402569233,-13.792842395270135,17,32,9,37,15,2700,47000,560,0.000000012000000000000002,0.00000000018
140,3.6328449560958362,-20.027253508245717,27,29,15,50,20,18000,27000,1800,0.00000015,0.0000000004699999999999999
141,4.261089813672111,-36.258203761627804,19,24,1,38,38,3900,10000,120,0.000000015000000000000002,0.000000015000000000000002
142,5.132549550430238,-25.21299579265856,14,14,24,7,32,1500,1500,10000,0.000000000039,0.0000000047
143,3.8650547037585565,-6.630042631951209,24,16,20,47,22,10000,2200,4700,0.000000082,0.0000000006799999999999999
144,2.183666497552725,6.2191579473030565,19,29,27,49,50,3900,27000,18000,0.00000012000000000000002,0.00000015
145,5.106069574476444,-7.964899451731951,5,27,2,36,31,270,18000,150,0.00000001,0.0000000039
146,4.6900088055649904,-34.863934305651,17,24,18,14,36,2700,10000,3300,0.00000000015,0.00000001
147,2.303759046770817,18.28718215797822,19,13,31,55,44,3900,1200,39000,0.00000039,0.000000047000000000000004
148,5.839880195283203,-41.907993510112114,22,11,4,18,24,6800,820,220,0.00000000033,0.000000001
149,6.121395546308635,30.12084906385092,8,33,31,5,5,470,56000,39000,0.000000000027,0.000000000027
150,3.9556756940912714,-25.602707970448094,28,14,13,46,29,22000,1500,1200,0.000000068,0.0000000027
152,4.660675629831386,21.388568228872668,12,34,25,34,14,1000,68000,12000,0.0000000068000000000000005,0.00000000015
153,3.042105002718519,-13.459609072324502,25,3,24,47,50,12000,180,10000,0.000000082,0.00000015
154,3.3722305447824645,-44.078763868745376,26,26,6,41,46,15000,15000,330,0.000000027,0.000000068
155,4.3575112275580095,-1.729549132279339,3,24,2,54,33,180,10000,150,0.00000033,0.0000000056000000000000005
157,5.124451443062158,23.221759811724922,1,15,15,38,20,120,1800,1800,0.000000015000000000000002,0.0000000004699999999999999
158,4.14307147295553,-24.600457570962185,33,2,18,58,19,56000,150,3300,0.0000006800000000000001,0.00000000039
159,3.7698034815917514,-5.464207023742804,26,17,23,43,24,15000,2700,8200,0.000000039000000000000005,0.000000001
160,4.428569523562511,1.7664981081557984,2,11,5,44,40,150,820,270,0.000000047000000000000004,0.000000022000000000000002
161,2.25228755236566,-19.214014819474315,28,26,18,53,48,22000,15000,3300,0.00000027,0.0000001
162,3.2374394505870256,-17.035837663857315,35,17,25,47,30,82000,2700,12000,0.000000082,0.0000000033
163,2.6198596991401955,2.959913822629938,11,7,31,40,58,820,390,39000,0.000000022000000000000002,0.0000006800000000000001
164,3.770264300571314,-30.22410453138061,4,9,8,37,59,220,560,470,0.000000012000000000000002,0.00000082
165,4.658905368786014,-4.050330154413017,3,10,21,21,41,180,680,5600,0.0000000005599999999999999,0.000000027
166,3.7912322401527017,44.8123758517372,7,22,34,56,9,390,6800,68000,0.00000047,0.000000000056
169,6.235967760362679,16.095151268755465,15,34,26,6,0,1800,68000,15000,0.000000000033,0.00000000001
170,4.455940020973487,13.273773466392852,2,13,32,17,39,150,1200,47000,0.00000000027,0.000000018000000000000002
172,4.856002086957109,-29.652759322550033,35,1,17,53,9,82000,120,2700,0.00000027,0.000000000056
173,4.6158382699505305,-13.733042493302682,12,15,4,43,29,1000,1800,220,0.000000039000000000000005,0.0000000027
175,3.8211127516309435,-10.04952035142,32,33,26,36,14,47000,56000,15000,0.00000001,0.00000000015
178,2.706302799713089,-19.378003649946248,30,30,31,31,43,33000,33000,39000,0.0000000039,0.000000039000000000000005
179,3.6156640589149904,-4.291647212613985,12,11,14,43,45,1000,820,1500,0.000000039000000000000005,0.000000056000000000000005
180,4.97769611364717,18.182261530168134,5,21,16,42,14,270,5600,2200,0.000000033000000000000004,0.00000000015
181,3.333553445216021,1.7027852471037928,29,17,30,49,21,27000,2700,33000,0.00000012000000000000002,0.0000000005599999999999999
182,3.8337042491968454,-58.30844158504241,35,23,29,12,41,82000,8200,27000,0.00000000009999999999999999,0.000000027
183,5.029714769955618,-78.28488993475223,35,0,24,8,44,82000,100,10000,0.000000000047,0.000000047000000000000004
184,5.993255511095356,37.65651685758248,2,11,26,19,6,150,820,15000,0.00000000039,0.000000000033
185,4.404634883013582,-65.05933638754252,31,35,16,11,35,39000,82000,2200,0.000000000082,0.0000000082
186,2.86710151664806,9.238964217663487,12,13,20,51,48,1000,1200,4700,0.00000018,0.0000001
187,3.854166628677158,-103.294000201007,32,23,17,9,56,47000,8200,2700,0.000000000056,0.00000047
188,5.94887212121672,30.05997539866209,5,12,32,5,13,270,1000,47000,0.000000000027,0.00000000012
189,5.169350242553738,-23.37638298398464,28,16,14,35,8,22000,2200,1500,0.0000000082,0.000000000047
190,5.4717487731590495,9.28469732257291,7,12,13,31,16,390,1000,1200,0.0000000039,0.00000000022
191,2.6432326021368286,-38.58311174675438,35,24,27,34,49,82000,10000,18000,0.0000000068000000000000005,0.00000012000000000000002
192,4.155748975385506,-48.87316551031592,6,2,1,36,60,330,150,120,0.00000001,0.000001
193,5.0250517699025945,-33.03275968533357,9,34,26,2,39,560,68000,15000,0.000000000015,0.000000018000000000000002
194,3.730756641095639,-58.39664115808205,18,9,24,17,58,3300,560,10000,0.00000000027,0.0000006800000000000001
195,4.913692124481456,-29.563049864365762,18,3,7,32,37,3300,180,390,0.0000000047,0.000000012000000000000002
196,3.4459396191178997,-45.25515858279673,20,17,14,32,53,4700,2700,1500,0.0000000047,0.00000027
197,4.520514161118607,8.86219096438129,9,1,15,42,31,560,120,1800,0.000000033000000000000004,0.0000000039
198,5.585734086911782,15.126528815140803,11,22,20,30,2,820,6800,4700,0.0000000033,0.000000000015
199,4.881182482685312,-56.72231209791862,14,24,7,16,43,1500,10000,390,0.00000000022,0.000000039000000000000005
200,3.3248130030037113,3.6856766793098465,19,12,25,41,40,3900,1000,12000,0.000000027,0.000000022000000000000002
201,5.211196108912103,44.58872518232923,2,6,29,30,12,150,330,27000,0.0000000033,0.00000000009999999999999999
202,3.4176494906831807,-27.45829736224467,17,29,2,51,45,2700,27000,150,0.00000018,0.000000056000000000000005
203,4.728859626411584,-38.47840336127385,22,2,18,22,41,6800,150,3300,0.0000000006799999999999999,0.000000027
204,5.940160648268555,22.7874664149184,5,33,19,23,7,270,56000,3900,0.00000000082,0.000000000039
206,4.206015388871841,-1.6584817659339295,11,31,10,52,23,820,39000,680,0.00000022,0.00000000082
207,2.493935176813588,33.96811517214584,1,33,27,53,56,120,56000,18000,0.00000027,0.00000047
208,4.182955717928209,-15.39708621652266,34,15,28,27,26,68000,1800,22000,0.0000000018,0.0000000015
209,4.485999010822198,53.30729149198971,1,2,33,54,4,120,150,56000,0.00000033,0.000000000021999999999999998
210,4.256989725465906,21.577066620094616,15,6,28,42,19,1800,330,22000,0.000000033000000000000004,0.00000000039
211,3.8139443287689967,-24.436674262434103,22,24,10,39,37,6800,10000,680,0.000000018000000000000002,0.000000012000000000000002
212,3.256677837316535,-5.911406658426775,13,10,10,56,45,1200,680,680,0.00000047,0.000000056000000000000005
213,2.034351973976647,-19.94064066278895,20,35,27,41,60,4700,82000,18000,0.000000027,0.000001
214,5.22106660530977,-1.9432987712643495,14,16,13,43,4,1500,2200,1200,0.000000039000000000000005,0.000000000021999999999999998
215,3.348002008146803,-76.96444085434983,32,32,36,1,51,47000,47000,100000,0.000000000012,0.00000018
216,4.250724280781043,7.853807296363844,30,11,35,39,10,33000,820,82000,0.000000018000000000000002,0.000000000068
217,2.9789510054628074,-12.598427020318525,11,15,8,53,55,820,1800,470,0.00000027,0.00000039
218,4.361864159497486,-103.2089079218182,20,24,8,8,58,4700,10000,470,0.000000000047,0.0000006800000000000001
219,5.1059731260078065,-118.43620739286003,35,6,15,1,52,82000,330,1800,0.000000000012,0.00000022
220,2.803898164742089,7.032954916901585,25,30,29,56,21,12000,33000,27000,0.00000047,0.0000000005599999999999999
222,5.2035562311840575,-63.22362234482471,25,18,20,1,34,12000,3300,4700,0.000000000012,0.0000000068000000000000005
223,6.315911173967462,-1.135811131741313,12,30,17,6,10,1000,33000,2700,0.000000000033,0.000000000068
224,3.7078969505559103,-33.56430093611276,31,13,11,58,26,39000,1200,820,0.0000006800000000000001,0.0000000015
226,1.7275294336046405,2.745408387303636,25,4,34,59,59,12000,220,68000,0.00000082,0.00000082
227,3.1952235512546716,-8.341087966454266,34,35,30,33,26,68000,82000,33000,0.0000000056000000000000005,0.0000000015
228,3.576402016348513,-43.62842276325667,35,13,9,53,36,82000,1200,560,0.00000027,0.00000001
229,2.745001367683646,-8.217044966744574,10,33,35,28,58,680,56000,82000,0.0000000022000000000000003,0.0000006800000000000001
230,2.244202129882707,-13.116475895206767,16,30,17,51,59,2200,33000,2700,0.00000018,0.00000082
231,3.6419417270914005,-29.383603817455555,20,24,7,41,43,4700,10000,390,0.000000027,0.000000039000000000000005
232,4.090797406350175,4.001048990140077,7,21,10,47,35,390,5600,680,0.000000082,0.0000000082
233,5.615553485014602,0.22176556129061079,13,35,15,19,15,1200,82000,1800,0.00000000039,0.00000000018
234,4.757066372532353,-23.342631405620114,16,27,2,49,16,2200,18000,150,0.00000012000000000000002,0.00000000022
235,5.225887742449129,25.030399074793095,9,11,24,41,0,560,820,10000,0.000000027,0.00000000001
237,4.970364784130506,-18.470459388611786,16,6,14,25,33,2200,330,1500,0.0000000012,0.0000000056000000000000005
238,5.103460073944201,15.3323159425438,3,20,18,25,28,180,4700,3300,0.0000000012,0.0000000022000000000000003
239,4.234717958132907,-18.3554154217447,33,5,22,48,20,56000,270,6800,0.0000001,0.0000000004699999999999999
242,4.836249113865064,-93.72104115808723,18,3,10,10,58,3300,180,680,0.000000000068,0.0000006800000000000001
243,4.230606263239421,-6.811903945891933,22,12,25,27,32,6800,1000,12000,0.0000000018,0.0000000047
244,4.452995684934946,5.000144269217002,1,8,4,52,34,120,470,220,0.00000022,0.0000000068000000000000005
245,4.915684303087764,15.775901286454138,17,20,27,25,12,2700,4700,18000,0.0000000012,0.00000000009999999999999999
247,4.608147092670104,-36.29537781213396,24,14,13,25,35,10000,1500,1200,0.0000000012,0.0000000082
248,4.464130031034102,-35.44190279561645,23,9,2,46,33,8200,560,150,0.000000068,0.0000000056000000000000005
249,2.475641476154463,-21.228562033778505,35,21,33,37,47,82000,5600,56000,0.000000012000000000000002,0.000000082
250,3.092970305802982,26.384018437897822,10,15,29,43,42,680,1800,27000,0.000000039000000000000005,0.000000033000000000000004
251,4.830673655190922,-1.5806804896571416,9,8,8,47,21,560,470,470,0.000000082,0.0000000005599999999999999
252,3.7051871359820536,-26.716803747780105,31,34,15,56,8,39000,68000,1800,0.00000047,0.000000000047
254,4.752130437276204,-29.45756473911478,23,1,10,35,37,8200,120,680,0.0000000082,0.000000012000000000000002
255,4.574467441068803,-28.53036648308487,31,30,34,3,23,39000,33000,68000,0.000000000018,0.00000000082
256,5.7563117224358855,-48.88378031772642,35,24,6,20,9,82000,10000,330,0.0000000004699999999999999,0.000000000056
257,4.333153695966927,-61.49891906747815,31,34,24,5,35,39000,68000,10000,0.000000000027,0.0000000082
258,5.875277326314029,-65.28681369680399,19,4,1,15,36,3900,220,120,0.00000000018,0.00000001
260,2.8302436497999235,18.87143949575124,15,17,28,47,41,1800,2700,22000,0.000000082,0.000000027
261,5.8165882242447715,-53.70135669055331,34,6,4,25,22,68000,330,220,0.0000000012,0.0000000006799999999999999
262,2.615165498253117,-20.10508864218149,34,19,23,50,42,68000,3900,8200,0.00000015,0.000000033000000000000004
263,3.2129191624250786,43.1237968896824,7,22,33,59,21,390,6800,56000,0.00000082,0.0000000005599999999999999
264,3.2981972389699674,-61.52912569928788,35,32,35,8,45,82000,47000,82000,0.000000000047,0.000000056000000000000005
266,4.13475663233617,41.709283615249966,11,17,36,51,1,820,2700,100000,0.00000018,0.000000000012
267,4.709398484896087,5.776284007493504,12,6,16,37,26,1000,330,2200,0.000000012000000000000002,0.0000000015
268,4.083836783545075,-31.44678124567564,33,20,14,52,13,56000,4700,1500,0.00000022,0.00000000012
269,1.793507806475636,18.13691316470542,18,28,30,57,49,3300,22000,33000,0.00000056,0.00000012000000000000002
270,4.955773596457624,-30.38388048568159,31,28,13,30,9,39000,22000,1200,0.0000000033,0.000000000056
272,3.2450341236468825,-24.69560999625548,30,27,16,44,34,33000,18000,2200,0.000000047000000000000004,0.0000000068000000000000005
273,4.187795119654758,-26.67947242996861,20,25,28,13,37,4700,12000,22000,0.00000000012,0.000000012000000000000002
274,4.873124848624946,12.47331394232432,1,2,16,30,36,120,150,2200,0.0000000033,0.00000001
275,3.950449712509402,4.930369049497425,22,30,25,49,7,6800,33000,12000,0.00000012000000000000002,0.000000000039
276,5.964653106515247,31.36377882029531,2,4,21,29,4,150,220,5600,0.0000000027,0.000000000021999999999999998
277,5.023302478718943,10.224313281896281,1,30,7,51,17,120,33000,390,0.00000018,0.00000000027
278,4.296771300089756,0.5410275375580189,26,26,29,22,20,15000,15000,27000,0.0000000006799999999999999,0.0000000004699999999999999
279,3.2835933201191496,-23.55687845311257,30,13,16,59,30,33000,1200,2200,0.00000082,0.0000000033
280,6.550817336728693,31.64429732386969,1,3,21,14,6,120,180,5600,0.00000000015,0.000000000033
281,3.761614545451564,-45.58882653257499,33,22,6,45,34,56000,6800,330,0.000000056000000000000005,0.0000000068000000000000005
283,4.135835454500482,-0.07285371691005824,33,20,33,35,10,56000,4700,56000,0.0000000082,0.000000000068
285,4.439466946586401,-16.691930813809595,27,8,17,42,23,18000,470,2700,0.000000033000000000000004,0.00000000082
286,6.398677251825568,6.54051471835482,24,3,31,5,4,10000,180,39000,0.000000000027,0.000000000021999999999999998
287,5.613949563113732,-3.7777533974791537,15,23,22,9,17,1800,8200,6800,0.000000000056,0.00000000027
